Produit,,ingredient_initial,pourcentage,ingredient_reco,similarity,carbon_emission,categorie,saison,carbon_emission_total
barre,0,flocon d'avoine,0.3,flocon d'avoine,1,0.013,NaN,,
barre,18,abricot,0.3,fraise,0.951731,0.143449,"['fruits, légumes, légumineuses et oléagineux'...",,0.0430347
barre,0,abricot,0.3,poire,0.992666,0.050273,"['fruits, légumes, légumineuses et oléagineux'...",,0.0150819
barre,1,abricot,0.3,goyave,0.991672,0.116,NaN,,0.0348
barre,11,abricot,0.3,cerise,0.969705,0.127,NaN,,0.0381
barre,17,abricot,0.3,the,0.951822,0.139475,['boissons'],,0.0418425
barre,8,abricot,0.3,orange,0.979973,0.139611,"['boissons', 'produits sucrés', 'aliments infa...",,0.0418833
barre,16,abricot,0.3,myrtille,0.952426,0.1615,NaN,,0.04845
barre,13,abricot,0.3,grenade,0.962897,0.167605,['boissons'],,0.0502815
barre,2,abricot,0.3,peche,0.989747,0.207248,"['fruits, légumes, légumineuses et oléagineux']",,0.0621744
barre,3,abricot,0.3,groseille,0.988356,0.229612,['boissons'],,0.0688836
barre,0,abricot,0.3,abricot,1,0.293901,"[produits sucrés, produits céréaliers, lait et...",,0.0881703
barre,12,chocolat noir,0.7,cassonade,0.808064,0.07136,"['aides culinaires et ingrédients divers', 'bo...",,0.049952
barre,2,chocolat noir,0.7,chocolat au lait,0.949531,1.976935,"['produits céréaliers', 'produits sucrés']",,1.3838545
barre,0,chocolat noir,0.7,poudre de cacao,0.969437,2.702175,"['boissons', 'lait et produits laitiers', 'pro...",,1.8915225
barre,9,chocolat noir,0.7,confiture de lait,0.836257,0.021,NaN,,0.0147
barre,15,chocolat noir,0.7,sucre roux,0.802394,0.106,NaN,,0.0742
barre,8,chocolat noir,0.7,fruits confits,0.838573,0.107657,['produits céréaliers'],,0.0753599
barre,6,chocolat noir,0.7,bicarbonate de soude,0.875485,0.119,NaN,,0.0833
barre,14,chocolat noir,0.7,meringue,0.805119,0.152,NaN,,0.1064
barre,11,chocolat noir,0.7,creme patissiere,0.816558,0.155,NaN,,0.1085
barre,1,chocolat noir,0.7,chocolat blanc,0.963429,0.193,NaN,,0.1351
barre,3,chocolat noir,0.7,beurre de cacao,0.915338,0.266,NaN,,0.1862
barre,4,chocolat noir,0.7,lecithine de soja,0.907393,0.352,NaN,,0.2464
barre,18,chocolat noir,0.7,creme de lait,0.772535,0.368,NaN,,0.2576
barre,7,chocolat noir,0.7,pate d'amande,0.859993,0.387,NaN,,0.2709
barre,16,chocolat noir,0.7,sauce au chocolat,0.796778,0.728,NaN,,0.5096
barre,13,chocolat noir,0.7,lait concentre,0.807151,0.75053,['produits sucrés'],,0.525371
barre,17,chocolat noir,0.7,sucre vanille,0.773504,0.754,NaN,,0.5278
barre,19,chocolat noir,0.7,crepe dentelle,0.764653,0.826,NaN,,0.5782
barre,10,chocolat noir,0.7,cafe,0.819614,2.332855,"['boissons', 'lait et produits laitiers']",,1.6329985
barre,0,chocolat noir,0.7,chocolat noir,1,3.963768,"[aides culinaires et ingrédients divers, glace...",,2.7746376
barre,8,huile de tournesol,,puree de pomme de terre,0.554911,0.028679,"['entrées et plats composés', 'aliments infant...",,0
barre,16,huile de tournesol,,lentilles,0.522941,0.041254,"['entrées et plats composés', 'produits céréal...",,0
barre,13,huile de tournesol,,huile de colza,0.534383,0.18154,"['matières grasses', 'entrées et plats composé...",,0
barre,5,huile de tournesol,,huile d'olive,0.56922,0.19588,"['viandes, œufs, poissons', 'aides culinaires ...",,0
barre,15,huile de tournesol,,farine de riz,0.527656,0.590111,"['produits céréaliers', 'entrées et plats comp...",,0
barre,4,huile de tournesol,,haricots verts,0.572471,0.011,NaN,,0
barre,17,huile de tournesol,,chips de pommes de terre,0.522488,0.224,NaN,,0
barre,3,huile de tournesol,,farine de chataigne,0.579106,0.229,NaN,,0
barre,10,huile de tournesol,,choucroute,0.54349,0.279896,['entrées et plats composés'],,0
barre,18,huile de tournesol,,celeri branche,0.520419,0.302,NaN,,0
barre,6,huile de tournesol,,mais doux,0.564119,0.353,NaN,,0
barre,12,huile de tournesol,,levure alimentaire,0.537556,0.592,NaN,,0
barre,0,huile de tournesol,,huile de tournesol,1,0.598352,"[entrées et plats composés, aides culinaires e...",,0
barre,13,pomme,,poire,0.902292,0.050273,"['fruits, légumes, légumineuses et oléagineux'...",,0
barre,8,pomme,,goyave,0.927247,0.116,NaN,,0
barre,1,pomme,,orange,0.945557,0.139611,"['boissons', 'produits sucrés', 'aliments infa...",,0
barre,19,pomme,,myrtille,0.881611,0.1615,NaN,,0
barre,16,pomme,,grenade,0.892233,0.167605,['boissons'],,0
barre,0,pomme,,cassis,0.961966,0.176,NaN,,0
barre,17,pomme,,peche,0.890007,0.207248,"['fruits, légumes, légumineuses et oléagineux']",,0
barre,10,pomme,,groseille,0.912239,0.229612,['boissons'],,0
barre,6,pomme,,radis,0.932143,0.249,NaN,,0
barre,0,pomme,,pomme,1,0.262907,[boissons],,0
barre,2,lait concentre,,vanille,0.951693,0.001261,['produits céréaliers'],,0
barre,3,lait concentre,,confiture de lait,0.950164,0.021,NaN,,0
barre,7,lait concentre,,sirop,0.928602,0.069531,['boissons'],,0
barre,18,lait concentre,,cassonade,0.888191,0.07136,"['aides culinaires et ingrédients divers', 'bo...",,0
barre,8,lait concentre,,bicarbonate de soude,0.922261,0.119,NaN,,0
barre,12,lait concentre,,liqueur,0.915503,0.125,NaN,,0
barre,4,lait concentre,,meringue,0.949933,0.152,NaN,,0
barre,16,lait concentre,,lait de brebis,0.897137,0.242,NaN,,0
barre,17,lait concentre,,beurre de cacao,0.890457,0.266,NaN,,0
barre,9,lait concentre,,noix de macadamia,0.921592,0.305,NaN,,0
barre,11,lait concentre,,lecithine de soja,0.917869,0.352,NaN,,0
barre,19,lait concentre,,creme dessert au chocolat,0.886162,0.361,NaN,,0
barre,0,lait concentre,,pate d'amande,0.979001,0.387,NaN,,0
barre,10,lait concentre,,cerises,0.919735,0.583615,"['produits sucrés', 'lait et produits laitiers']",,0
barre,13,lait concentre,,sauce au chocolat,0.913815,0.728,NaN,,0
barre,0,lait concentre,,lait concentre,1,0.75053,[produits sucrés],,0
salade,12,epinard,,puree de pomme de terre,0.785182,0.028679,"['entrées et plats composés', 'aliments infant...",,0
salade,11,epinard,,champignon,0.788039,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,9,epinard,,carotte,0.801704,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,13,epinard,,tomate,0.781377,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,10,epinard,,poireau,0.798277,0.098156,"['aides culinaires et ingrédients divers', 'en...",,0
salade,1,epinard,,chou-fleur,0.884159,0.09875,NaN,,0
salade,3,epinard,,haricot vert,0.879741,0.110365,"['entrées et plats composés', 'fruits, légumes...",,0
salade,4,epinard,,celeri-rave,0.853598,0.186708,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,16,epinard,,chou vert,0.714106,0.203507,['entrées et plats composés'],,0
salade,7,epinard,,potiron,0.847828,0.204245,['entrées et plats composés'],,0
salade,0,epinard,,epinard,1,0.220338,[entrées et plats composés],,0
salade,0,salade verte,,salade verte,1,0.02232,[entrées et plats composés],,0
salade,18,tomate,,champignon,0.702318,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,7,tomate,,carotte,0.745133,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,0,tomate,,tomate,1,0.096879,"[aides culinaires et ingrédients divers, entré",,0
salade,4,quinoa,,sarrasin,0.770391,0.015799,['produits céréaliers'],,0
salade,12,quinoa,,haricot mungo,0.727075,0.108475,"['matières grasses', 'entrées et plats composé...",,0
salade,7,quinoa,,son de riz,0.76023,0.117,NaN,,0
salade,9,quinoa,,haricot rouge,0.747253,0.156095,['entrées et plats composés'],,0
salade,17,quinoa,,artichaut,0.701296,0.2378,NaN,,0
salade,10,quinoa,,huile de mais,0.731023,0.332,NaN,,0
salade,1,quinoa,,lentille,0.819051,0.375,NaN,,0
salade,2,quinoa,,chia,0.788393,0.375,NaN,,0
salade,15,quinoa,,igname,0.711026,0.3795,NaN,,0
salade,0,quinoa,,quinoa,1,0.417,NaN,,0
salade,8,quinoa,,echalote,0.680052,0.016727,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,oignon,,champignon,0.689964,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,12,oignon,,curcuma,0.652104,0.047,NaN,,0
salade,13,oignon,,carotte,0.650484,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,1,oignon,,poireau,0.735545,0.098156,"['aides culinaires et ingrédients divers', 'en...",,0
salade,4,oignon,,chou-fleur,0.708745,0.09875,NaN,,0
salade,6,oignon,,haricot vert,0.693327,0.110365,"['entrées et plats composés', 'fruits, légumes...",,0
salade,16,oignon,,poivron rouge,0.640889,0.162,NaN,,0
salade,5,oignon,,celeri-rave,0.69548,0.186708,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,11,oignon,,chou vert,0.652272,0.203507,['entrées et plats composés'],,0
salade,17,oignon,,potiron,0.640746,0.204245,['entrées et plats composés'],,0
salade,19,oignon,,epinard,0.638559,0.220338,['entrées et plats composés'],,0
salade,3,oignon,,brocoli,0.718777,0.221277,['entrées et plats composés'],,0
salade,2,oignon,,panais,0.734588,0.246,NaN,,0
salade,10,oignon,,chou blanc,0.667556,0.297909,['entrées et plats composés'],,0
salade,14,oignon,,celeri branche,0.64569,0.302,NaN,,0
salade,9,oignon,,bouillon de legumes,0.674256,0.321,NaN,,0
salade,0,oignon,,oignon,1,0.3925,NaN,,0
salade,18,parmesan,,origan,0.778781,0.05734,['aides culinaires et ingrédients divers'],,0
salade,15,parmesan,,pain de mie,0.781926,0.075,NaN,,0
salade,13,parmesan,,semoule de ble dur,0.791958,0.132,NaN,,0
salade,4,parmesan,,sauce bechamel,0.849725,0.276,NaN,,0
salade,19,parmesan,,pates,0.777177,0.309998,['entrées et plats composés'],,0
salade,17,parmesan,,tomate cerise,0.778944,0.509,NaN,,0
salade,12,parmesan,,comte,0.793074,0.542258,['entrées et plats composés'],,0
salade,11,parmesan,,gorgonzola,0.80881,0.543,NaN,,0
salade,2,parmesan,,grana padano,0.881918,0.627,NaN,,0
salade,5,parmesan,,edam,0.842052,0.627,NaN,,0
salade,9,parmesan,,cheddar,0.823404,0.627,NaN,,0
salade,16,parmesan,,gouda,0.778955,0.627,NaN,,0
salade,0,parmesan,,parmesan,1,0.637643,"[aides culinaires et ingrédients divers, entré.",,0
salade,8,tomate cerise,,olives,0.769718,0.016174,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,tomate cerise,,salade verte,0.772382,0.02232,['entrées et plats composés'],,0
salade,10,tomate cerise,,tomate,0.75475,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,0,tomate cerise,,vinaigre balsamique,0.849069,0.112,NaN,,0
salade,5,tomate cerise,,jambon cru,0.783879,0.126,NaN,,0
salade,17,tomate cerise,,sauce au yaourt,0.717334,0.167,NaN,,0
salade,15,tomate cerise,,mayonnaise,0.721088,0.221,NaN,,0
salade,3,tomate cerise,,mais doux,0.81022,0.353,NaN,,0
salade,16,tomate cerise,,fromage blanc,0.717704,0.368,NaN,,0
salade,9,tomate cerise,,anchois,0.767328,0.445976,"['aides culinaires et ingrédients divers', 'vi...",,0
salade,2,tomate cerise,,salade,0.820747,0.462334,['entrées et plats composés'],,0
salade,13,tomate cerise,,saumon fume,0.740728,0.495,NaN,,0
salade,0,tomate cerise,,tomate cerise,1,0.509,NaN,,0
salade,11,concombre,,salade verte,0.705951,0.02232,['entrées et plats composés'],,0
salade,4,concombre,,menthe,0.75236,0.029435,['boissons'],,0
salade,13,concombre,,feves,0.681121,0.040506,['entrées et plats composés'],,0
salade,19,concombre,,ananas,0.635528,0.082807,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,3,concombre,,jus de citron,0.802933,0.086127,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,concombre,,tomate,0.739377,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,16,concombre,,vinaigre balsamique,0.675484,0.112,NaN,,0
salade,9,concombre,,surimi,0.721147,0.153,NaN,,0
salade,10,concombre,,poivron rouge,0.706486,0.162,NaN,,0
salade,6,concombre,,mayonnaise,0.741476,0.221,NaN,,0
salade,18,concombre,,yaourt,0.654232,0.243277,['aides culinaires et ingrédients divers'],,0
salade,5,concombre,,chou blanc,0.751733,0.297909,['entrées et plats composés'],,0
salade,12,concombre,,salade,0.681415,0.462334,['entrées et plats composés'],,0
salade,2,concombre,,tomate cerise,0.807645,0.509,NaN,,0
salade,8,concombre,,pois chiche,0.731326,0.584,NaN,,0
salade,0,concombre,,concombre,1,0.619928,[entrées et plats composés],,0
salade,18,boeuf,,safran,0.822938,0.012404,['entrées et plats composés'],,0
salade,13,boeuf,,estragon,0.83448,0.022012,['aides culinaires et ingrédients divers'],,0
salade,16,boeuf,,lentilles,0.828152,0.041254,"['entrées et plats composés', 'produits céréal...",,0
salade,5,boeuf,,saucisse de toulouse,0.892136,0.089,NaN,,0
salade,17,boeuf,,eau de vie,0.82724,0.102833,"['aides culinaires et ingrédients divers', 'vi...",,0
salade,0,boeuf,,foie,0.936961,0.210813,NaN,,0
salade,8,boeuf,,glace,0.858293,0.237,NaN,,0
salade,10,boeuf,,riz blanc,0.843771,0.2425,NaN,,0
salade,19,boeuf,,croutons,0.822639,0.256,NaN,,0
salade,11,boeuf,,hareng,0.840976,0.2575,NaN,,0
salade,2,boeuf,,choucroute,0.9078,0.279896,['entrées et plats composés'],,0
salade,3,boeuf,,maquereau,0.905688,0.310333,NaN,,0
salade,4,boeuf,,sang,0.901547,0.335,NaN,,0
salade,12,boeuf,,tripes,0.836113,0.336,NaN,,0
salade,1,boeuf,,boeuf,0.912189,0.351268,NaN,,0
salade,9,boeuf,,graisse de porc,0.85228,0.365823,"['viandes, œufs, poissons']",,0
salade,0,boeuf,,porc,1,0.488543,NaN,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
